"variable_name","variable_type","function_or_class","description"
"year","function_argument","rules.drc","Year for which the parameter is requested"
"value","output","rules.drc","Benefit increase rate for claiming after age 65"
"year","function_argument","rules.nympe","Year for which the parameter is requested"
"value","output","rules.nympe","Number of years used to compute the average YMPE"
"year","function_argument","rules.reprate","Year for which the parameter is requested"
"value","output","rules.reprate","Replacement rate for the base plan"
"year","function_argument","rules.reprate_s1","Year for which the parameter is requested"
"value","output","rules.reprate_s1","Replacement rate for first tier of the supplementary plan"
"year","function_argument","rules.reprate_s2","Year for which the parameter is requested"
"value","output","rules.reprate_s2","Replacement rate for second tier of the supplementary plan"
"year","function_argument","rules.droprate","Year for which the parameter is requested"
"value","output","rules.droprate","Proportion of years excluded from the retirement pension calculation"
"year","function_argument","rules.supp","Year for which the parameter is requested"
"yr","intermediate","rules.supp","Effective parameter year capped at the last available parameter year"
"year","function_argument","rules.supp_s1","Year for which the parameter is requested"
"yr","intermediate","rules.supp_s1","Effective parameter year capped at the last available parameter year"
"year","function_argument","rules.supp_s2","Year for which the parameter is requested"
"yr","intermediate","rules.supp_s2","Effective parameter year capped at the last available parameter year"
"year","function_argument","rules.era","Year for which the parameter is requested"
"yr","intermediate","rules.era","Effective parameter year capped at the last available parameter year"
"year","function_argument","rules.nra","Year for which the parameter is requested"
"yr","intermediate","rules.nra","Effective parameter year capped at the last available parameter year"
"year","function_argument","rules.disab_rate","Year for which the parameter is requested"
"yr","intermediate","rules.disab_rate","Effective parameter year capped at the last available parameter year"
"year","function_argument","rules.disab_base","Year for which the parameter is requested"
"yr","intermediate","rules.disab_base","Effective parameter year capped at the last available parameter year"
"year","function_argument","rules.cola","Year for which the parameter is requested"
"value","output","rules.cola","Annual benefit indexation rate after benefits begin"
"start","function_argument","rules.gIndexation","First year of the indexation period"
"stop","function_argument","rules.gIndexation","Last year of the indexation period"
"year","function_argument","rules.max_benefit","Year of benefit start used for the maximum benefit calculation"
"byear","function_argument","account.__init__","Year of birth for the individual"
"rules","function_argument","account.__init__","Rules instance used by the account"
"self.byear","class_attribute","account","Year of birth for the individual"
"self.claimage","class_attribute","account","Age at which retirement benefits are claimed"
"self.history","class_attribute","account","List of annual record entries from age 18 to age 69"
"self.ncontrib","class_attribute","account","Number of contribution years used for the base plan calculation"
"self.ncontrib_s1","class_attribute","account","Number of contribution years used for first tier of the supplementary plan"
"self.ncontrib_s2","class_attribute","account","Number of contribution years used for second tier of the supplementary plan"
"self.ampe","class_attribute","account","Average monthly pensionable earnings for the base plan"
"self.ampe_s1","class_attribute","account","Average monthly pensionable earnings measure for first tier of the supplementary plan"
"self.ampe_s2","class_attribute","account","Average monthly pensionable earnings measure for second tier of the supplementary plan"
"self.receiving","class_attribute","account","Indicator that the individual is receiving retirement benefits"
"self.rules","class_attribute","account","Rules instance used for calculations"
"self.benefit","class_attribute","account","Monthly retirement benefit for the base plan at claim age"
"self.benefit_s1","class_attribute","account","Monthly retirement benefit for first tier of the supplementary plan at claim age"
"self.benefit_s2","class_attribute","account","Monthly retirement benefit for second tier of the supplementary plan at claim age"
"self.prb","class_attribute","account","Post-retirement benefit amounts for the base plan by age 60 to 70 index"
"self.prb_s1","class_attribute","account","Post-retirement benefit amounts for first tier of the supplementary plan by age 60 to 70 index"
"self.prb_s2","class_attribute","account","Post-retirement benefit amounts for second tier of the supplementary plan by age 60 to 70 index"
"self.cqppcontrib","class_attribute","account","Current QPP or CPP employee contribution amount for base plus second tier of the supplementary plan"
"year","function_argument","account.MakeContrib","Contribution year"
"earn","function_argument","account.MakeContrib","Contributory employment income"
"earn_aut","function_argument","account.MakeContrib","Contributory self-employment income"
"kids","function_argument","account.MakeContrib","Child under age 7 indicator for the child-rearing exclusion"
"taxable","intermediate","account.MakeContrib","Earnings subject to base and first tier of the supplementary plan employee contributions after exemption"
"taxable_aut","intermediate","account.MakeContrib","Self-employment earnings subject to base and first tier of the supplementary plan contributions after exemption"
"taxable_s2","intermediate","account.MakeContrib","Earnings subject to second tier of the supplementary plan contributions"
"taxable_aut_s2","intermediate","account.MakeContrib","Self-employment earnings subject to second tier of the supplementary plan contributions"
"contrib","intermediate","account.MakeContrib","Calculated base plan employee contribution"
"contrib_aut","intermediate","account.MakeContrib","Calculated base plan self-employment contribution"
"contrib_s1","intermediate","account.MakeContrib","Calculated first tier of the supplementary plan employee contribution"
"contrib_aut_s1","intermediate","account.MakeContrib","Calculated first tier of the supplementary plan self-employment contribution"
"contrib_s2","intermediate","account.MakeContrib","Calculated second tier of the supplementary plan employee contribution"
"contrib_aut_s2","intermediate","account.MakeContrib","Calculated second tier of the supplementary plan self-employment contribution"
"index","intermediate","account.MakeContrib","Position in contribution history corresponding to the contribution year"
"year","function_argument","account.ClaimCPP","Year in which benefits are claimed"
"currage","intermediate","account.ClaimCPP","Individual age in the claim year"
"year","function_argument","account.gAge","Year for which age is requested"
"age","output","account.gAge","Individual age in the requested year"
"age","function_argument","account.gYear","Age for which calendar year is requested"
"year","output","account.gYear","Calendar year corresponding to the requested age"
"year","function_argument","account.CalcAMPE","Year benefits start"
"yr18","intermediate","account.CalcAMPE","Later of age 18 year and plan start year"
"yr70","intermediate","account.CalcAMPE","Last year used to compute the number of years in the base plan calculation; capped because individuals cannot delay benefit claiming past age 70"
"nyrs","intermediate","account.CalcAMPE","Number of years in the base plan calculation period"
"yr18_s2","intermediate","account.CalcAMPE","Later of age 18 year and second tier of the supplementary plan start year"
"nyrs_s2","intermediate","account.CalcAMPE","Number of years in the second tier of the supplementary plan calculation period"
"index","intermediate","account.CalcAMPE","Starting history index for contribution years included in AMPE"
"yrs","intermediate","account.CalcAMPE","Contribution years used in the base calculation"
"yrs_s2","intermediate","account.CalcAMPE","Contribution years used in the second tier of the supplementary plan calculation"
"ympe","intermediate","account.CalcAMPE","Base YMPE values for the contribution years"
"ympe_s2","intermediate","account.CalcAMPE","Supplementary YMPE ceiling values for the contribution years"
"worktax_s1","intermediate","account.CalcAMPE","First tier of the supplementary plan employee contribution rates for the contribution years"
"exempt","intermediate","account.CalcAMPE","Exemption amounts for the contribution years"
"kids","intermediate","account.CalcAMPE","Child-rearing indicators for contribution years"
"disab","intermediate","account.CalcAMPE","Disability indicators for contribution years"
"earn","intermediate","account.CalcAMPE","Earnings stored for contribution years"
"nympe","intermediate","account.CalcAMPE","Number of years used for the average YMPE in the claim year"
"self.upe","class_attribute","account","Unadjusted pensionable earnings for the base plan by contribution year"
"self.upe_s2","class_attribute","account","Unadjusted pensionable earnings above the base YMPE for second tier of the supplementary plan"
"avgympe","intermediate","account.CalcAMPE","Average YMPE over the years ending with the benefit start year"
"ape","intermediate","account.CalcAMPE","Adjusted pensionable earnings for the base plan by year"
"ape_s1","intermediate","account.CalcAMPE","Adjusted pensionable earnings measure for first tier of the supplementary plan by year"
"ape_s2","intermediate","account.CalcAMPE","Adjusted pensionable earnings for second tier of the supplementary plan by year"
"ndrop","intermediate","account.CalcAMPE","Number of base plan years dropped from the calculation"
"dropped","intermediate","account.CalcAMPE","Boolean flags for base plan years dropped from the calculation"
"ndrop_s1","intermediate","account.CalcAMPE","Number of first tier of the supplementary plan years dropped from the calculation"
"dropped_s1","intermediate","account.CalcAMPE","Boolean flags for first tier of the supplementary plan years dropped from the calculation"
"ndrop_s2","intermediate","account.CalcAMPE","Number of second tier of the supplementary plan years dropped from the calculation"
"dropped_s2","intermediate","account.CalcAMPE","Boolean flags for second tier of the supplementary plan years dropped from the calculation"
"avgape","intermediate","account.CalcAMPE","Average adjusted pensionable earnings after excluding years of child rearing"
"avgape_s2","intermediate","account.CalcAMPE","Average second tier of the supplementary plan adjusted pensionable earnings over 40 years"
"gdrop","intermediate","account.CalcAMPE","Number of general dropout years for the base plan"
"apef","intermediate","account.CalcAMPE","Base plan adjusted pensionable earnings remaining before general dropout selection"
"ixf","intermediate","account.CalcAMPE","Indexes of the lowest remaining base plan earnings selected for dropout"
"yrsf","intermediate","account.CalcAMPE","Years remaining before base plan general dropout selection"
"yrstodrop","intermediate","account.CalcAMPE","Base plan years selected for general dropout"
"gdrop_s1","intermediate","account.CalcAMPE","Number of first tier of the supplementary plan dropout years above 40 contribution years"
"apef_s1","intermediate","account.CalcAMPE","First tier of the supplementary plan earnings remaining after dropping excluded years"
"ixf_s1","intermediate","account.CalcAMPE","Indexes of lowest remaining first tier of the supplementary plan earnings selected for dropout"
"yrsf_s1","intermediate","account.CalcAMPE","Years remaining before first tier of the supplementary plan dropout selection"
"yrstodrop_s1","intermediate","account.CalcAMPE","First tier of the supplementary plan years selected for dropout"
"gdrop_s2","intermediate","account.CalcAMPE","Number of second tier of the supplementary plan dropout years above 40 contribution years"
"apef_s2","intermediate","account.CalcAMPE","Second tier of the supplementary plan earnings remaining before dropout selection"
"ixf_s2","intermediate","account.CalcAMPE","Indexes of lowest remaining second tier of the supplementary plan earnings selected for dropout"
"yrsf_s2","intermediate","account.CalcAMPE","Years remaining before second tier of the supplementary plan dropout selection"
"yrstodrop_s2","intermediate","account.CalcAMPE","Second tier of the supplementary plan years selected for dropout"
"year","function_argument","account.CalcBenefit","Year benefits start"
"nra","intermediate","account.CalcBenefit","Normal retirement age for the benefit start year"
"ca","intermediate","account.CalcBenefit","QPP income adjustment factor used for early retirement reduction"
"arf","intermediate","account.CalcBenefit","Actuarial reduction factor for claiming before normal retirement age"
"drc","intermediate","account.CalcBenefit","Deferral rate for claiming after normal retirement age"
"age","intermediate","account.CalcBenefit","Individual age in the benefit start year"
"year","function_argument","account.CalcPRB","Contribution year after benefits have started"
"taxable","function_argument","account.CalcPRB","Contributory amount for the base plan and first tier of the supplementary plan"
"taxable_s2","function_argument","account.CalcPRB","Contributory amount for second tier of the supplementary plan"
"earn","function_argument","account.CalcPRB","Earnings in the preceding year"
"nra","intermediate","account.CalcPRB","Normal retirement age for the contribution year"
"arf","intermediate","account.CalcPRB","Actuarial reduction factor used in post-retirement benefit adjustment"
"drc","intermediate","account.CalcPRB","Deferral rate used in post-retirement benefit adjustment"
"age","intermediate","account.CalcPRB","Individual age in the contribution year"
"upe","intermediate","account.CalcPRB","Unadjusted pensionable earnings for post-retirement benefit base calculation"
"upe_s2","intermediate","account.CalcPRB","Unadjusted earnings above the base YMPE for post-retirement second tier of the supplementary plan calculation"
"prb","intermediate","account.CalcPRB","Calculated base post-retirement benefit increment before monthly conversion and adjustment"
"prb_s1","intermediate","account.CalcPRB","Calculated first tier of the supplementary plan post-retirement benefit increment before monthly conversion and adjustment"
"prb_s2","intermediate","account.CalcPRB","Calculated second tier of the supplementary plan post-retirement benefit increment before monthly conversion and adjustment"
"year","function_argument","account.gBenefit","Year for which base benefit is requested"
"claimyear","intermediate","account.gBenefit","Calendar year in which benefits were claimed"
"year","function_argument","account.gBenefit_s1","Year for which first tier of the supplementary plan benefit is requested"
"claimyear","intermediate","account.gBenefit_s1","Calendar year in which benefits were claimed"
"year","function_argument","account.gBenefit_s2","Year for which second tier of the supplementary plan benefit is requested"
"claimyear","intermediate","account.gBenefit_s2","Calendar year in which benefits were claimed"
"year","function_argument","account.gPRB","Year for which base post-retirement benefit is requested"
"year","function_argument","account.gPRB_s1","Year for which first tier of the supplementary plan post-retirement benefit is requested"
"year","function_argument","account.gPRB_s2","Year for which second tier of the supplementary plan post-retirement benefit is requested"
"claimage","function_argument","account.RunCase","Age at which retirement benefits are claimed in the scenario"
"yr18","intermediate","account.RunCase","Later of age 18 year and plan start year for scenario history"
"start_age","intermediate","account.RunCase","Age corresponding to the first scenario history year"
"yr","intermediate","account.RunCase","Calendar year corresponding to the current scenario age"
"retage","function_argument","account.SetHistory_ratio","Retirement age used to size the earnings-ratio history"
"kwargs","function_argument","account.SetHistory_ratio","Scenario segments used to populate earnings ratios"
"self.retage","class_attribute","account","Retirement age used by RunCase"
"yr18","intermediate","account.SetHistory_ratio","Later of age 18 year and plan start year for ratio history"
"start_age","intermediate","account.SetHistory_ratio","Age corresponding to the first ratio history year"
"nyears","intermediate","account.SetHistory_ratio","Number of years in the ratio history"
"self.ratio_list","class_attribute","account","Earnings ratios by year used by RunCase to scale YMPE earnings"
"nargs","intermediate","account.SetHistory_ratio","Number of keyword scenario segments supplied"
"niter","intermediate","account.SetHistory_ratio","Position while filling the earnings-ratio list"
"temp_list","intermediate","account.SetHistory_ratio","Values extracted from one earnings-ratio segment"
"claimage","function_argument","account.SetHistory_fam","Claim age used to size the child-rearing history"
"age_birth","function_argument","account.SetHistory_fam","List of ages at childbirth"
"self.age_birth","class_attribute","account","List of ages at childbirth"
"yr18","intermediate","account.SetHistory_fam","Later of age 18 year and plan start year for family history"
"start_age","intermediate","account.SetHistory_fam","Age corresponding to the first family history year"
"nyears","intermediate","account.SetHistory_fam","Number of years in the child-rearing indicator history"
"self.kids_list","class_attribute","account","Child-rearing indicators used by RunCase"
"indice","intermediate","account.SetHistory_fam","Starting index in kids_list for a child-birth age"
"years_deduc","intermediate","account.SetHistory_fam","Number of child-rearing years to flag when a birth occurs before the first history age"
